# all in microseconds
id,cable,side,turns,current,rampOFF
1,6,1.50,1,1,0.15
3,12,3.00,1,1,0.23
5,25,6.25,1,1,0.40
9,50,12.50,1,1,0.80
12,100,25.00,1,1,1.30
