# all in microseconds
id,cable,side,turns,current,rampOFF
1,8,2.00,1,1,0.21
2,25,6.25,1,4,0.50
3,50,12.50,1,4,0.95
4,100,25.00,1,4,1.50
5,400,100.00,1,4,10.00
